feature,importance_mean,importance_std
nombre_h_Puma Velocity Nitro 2_h,0.0,0.0
nombre_h_Nike Dri-FIT Miler_h,0.0,0.0
subcategoria_h_Mancuernas Ajustables_h,0.0,0.0
nombre_h_Trek Marlin 7_h,0.0,0.0
subcategoria_h_Banco Gimnasio_h,0.0,0.0
subcategoria_h_Bandas Elásticas_h,0.0,0.0
subcategoria_h_Cojín Yoga_h,0.0,0.0
subcategoria_h_Esterilla Fitness_h,0.0,0.0
subcategoria_h_Bicicleta Montaña_h,0.0,0.0
subcategoria_h_Bloque Yoga_h,0.0,0.0
subcategoria_h_Rodillera Yoga_h,0.0,0.0
subcategoria_h_Esterilla Yoga_h,0.0,0.0
subcategoria_h_Mochila Trekking_h,0.0,0.0
subcategoria_h_Pesa Rusa_h,0.0,0.0
subcategoria_h_Ropa Running_h,0.0,0.0
subcategoria_h_Pesas Casa_h,0.0,0.0
subcategoria_h_Zapatillas Trail_h,0.0,0.0
es_Cyber_Monday,-5.217662079105567e-05,6.0438502747053033e-05
